,,Course Title,Term,"Deeper
 under- standing
 of the subject
 matter.","Interest in the
 subject matter
 was stimulated.","Effective use of
 instructional
 technology.",Activities in course supported my learning.,Effort needed to succeed is reasonable.,"Grading
 standards
 were clear.","I would
 recommend
 this course.",# Resp
AAS,3601W,War & Empire: Asian Amer Persp,Fall 2022,5.50,5.50,5.17,5.33,5.50,5.17,5.50,6
AAS,3875W,US Comparative Race/Ethnicity,Spr 2025,6.00,5.67,4.83,6.00,5.83,4.83,5.67,6
ABUS,3051,Career Search for Profl Envt,Fall 2020,5.60,5.47,5.60,5.60,5.67,5.47,5.67,15
ABUS,3051,Career Search for Profl Envt,Spr 2021,5.43,5.15,5.33,5.48,5.62,5.52,5.57,22
ABUS,3051,Career Search for Profl Envt,Sum 2021,4.67,4.33,4.00,4.67,5.33,5.33,4.67,3
ABUS,3051,Career Search for Profl Envt,Fall 2021,5.22,5.20,5.19,5.22,5.44,5.47,5.50,36
ABUS,3051,Career Search for Profl Envt,Spr 2022,5.57,5.32,5.46,5.39,5.50,5.30,5.39,28
ABUS,3051,Career Search for Profl Envt,Fall 2022,5.55,5.27,5.48,5.55,5.61,5.52,5.44,33
ABUS,3051,Career Search for Profl Envt,Spr 2023,5.62,5.44,5.67,5.51,5.48,5.61,5.50,52
ABUS,3051,Career Search for Profl Envt,Sum 2023,5.33,5.00,5.67,5.67,5.67,5.33,5.67,3
ABUS,3051,Career Search for Profl Envt,Spr 2024,5.64,5.27,5.69,5.55,5.55,5.36,5.36,33
ABUS,3051,Career Search for Profl Envt,Sum 2024,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4
ABUS,3051,Career Search for Profl Envt,Fall 2024,5.52,5.19,5.48,5.39,5.32,5.35,5.32,31
ABUS,3051,Career Search for Profl Envt,Spr 2025,5.66,5.55,5.71,5.61,5.55,5.61,5.55,39
ABUS,3052,Careers in Remote Gig Economy,Fall 2020,5.92,5.67,5.83,5.92,5.83,5.83,5.92,12
ABUS,3052,Careers in Remote Gig Economy,Spr 2021,5.71,5.71,5.57,5.64,5.64,5.86,5.79,14
ABUS,3052,Careers in Remote Gig Economy,Sum 2021,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1
ABUS,3052,Careers in Remote Gig Economy,Fall 2021,5.82,5.73,5.82,5.76,5.64,5.91,5.86,22
ABUS,3052,Careers in Remote Gig Economy,Spr 2022,5.82,5.64,5.55,5.55,5.64,5.73,5.64,11
ABUS,3052,Careers in Remote Gig Economy,Fall 2022,5.46,5.50,5.62,5.46,5.23,5.31,5.46,13
ABUS,3052,Careers in Remote Gig Economy,Spr 2023,5.55,5.64,5.73,5.70,5.64,5.55,5.64,11
ABUS,3052,Careers in Remote Gig Economy,Fall 2023,5.62,5.54,5.54,5.54,5.62,5.69,5.54,13
ABUS,3052,Careers in Remote Gig Economy,Spr 2024,5.67,5.67,5.50,5.50,5.50,5.50,5.67,6
ABUS,3052,Careers in Remote Gig Economy,Fall 2024,5.64,5.71,5.64,5.64,5.21,5.79,5.71,14
ABUS,3052,Careers in Remote Gig Economy,Spr 2025,5.69,5.92,5.85,5.69,5.77,5.85,5.69,14
ABUS,3201,Digital Design-Small Business,Fall 2020,5.86,5.71,6.00,5.86,5.71,5.86,5.71,7
ABUS,3201,Digital Design-Small Business,Spr 2021,5.56,5.33,5.56,5.56,5.33,6.00,5.50,9
ABUS,3201,Digital Design-Small Business,Fall 2021,5.86,5.93,5.86,5.93,5.79,5.86,5.93,14
ABUS,3201,Digital Design-Small Business,Spr 2022,5.71,5.44,5.65,5.71,5.76,5.76,5.65,17
ABUS,3201,Digital Design-Small Business,Fall 2022,5.77,5.92,6.00,5.92,5.92,5.69,5.92,13
ABUS,3201,Digital Design-Small Business,Spr 2023,5.67,5.50,5.50,5.50,5.00,5.67,5.67,6
ABUS,3201,Digital Design-Small Business,Fall 2023,5.33,5.33,5.67,5.33,5.13,5.53,5.07,15
ABUS,3201,Digital Design-Small Business,Spr 2024,5.28,5.28,5.33,5.28,5.22,5.33,5.22,18
ABUS,3201,Digital Design-Small Business,Fall 2024,5.27,5.27,5.36,5.36,5.00,5.09,5.27,11
ABUS,3201,Digital Design-Small Business,Spr 2025,5.80,5.30,5.50,5.70,5.50,5.40,5.60,10
ABUS,3301,Intro to Quality Management,Fall 2020,4.20,4.00,4.00,4.60,4.80,5.00,4.60,5
ABUS,3301,Intro to Quality Management,Spr 2021,5.25,4.60,4.60,4.80,4.40,4.60,4.60,5
ABUS,3301,Intro to Quality Management,Sum 2021,5.50,5.00,5.50,5.00,5.50,5.50,5.00,2
ABUS,3301,Intro to Quality Management,Fall 2021,5.11,4.44,4.89,4.67,4.56,4.89,4.78,9
ABUS,3301,Intro to Quality Management,Spr 2022,5.00,5.00,5.25,4.50,5.25,5.50,5.25,4
ABUS,3301,Intro to Quality Management,Fall 2022,4.80,4.60,4.60,5.00,5.40,5.40,5.20,5
ABUS,3301,Intro to Quality Management,Spr 2023,5.00,4.46,5.38,5.15,5.08,5.42,4.82,13
ABUS,3301,Intro to Quality Management,Sum 2023,5.00,4.00,4.50,4.50,5.00,5.50,4.50,2
ABUS,3301,Intro to Quality Management,Spr 2024,5.18,4.91,5.18,5.00,5.00,5.36,5.00,11
ABUS,3301,Intro to Quality Management,Sum 2024,4.00,3.67,4.00,4.00,4.00,4.00,3.67,6
ABUS,3301,Intro to Quality Management,Fall 2024,5.13,5.13,5.00,5.13,5.25,4.88,5.38,8
ABUS,3301,Intro to Quality Management,Spr 2025,5.00,4.33,5.33,5.33,5.33,5.33,4.67,3
ABUS,3510,Virtual Global Communication,Fall 2020,4.33,4.33,5.00,5.00,5.20,4.83,5.17,6
ABUS,3510,Virtual Global Communication,Sum 2021,5.50,5.50,6.00,6.00,6.00,5.50,6.00,2
ABUS,3510,Virtual Global Communication,Fall 2021,5.43,5.00,5.43,5.43,5.43,5.29,5.57,7
ABUS,3510,Virtual Global Communication,Fall 2022,5.33,5.33,5.67,5.33,5.67,5.67,5.67,3
ABUS,3510,Virtual Global Communication,Fall 2023,5.67,5.67,5.67,5.67,6.00,5.33,6.00,4
ABUS,3510,Virtual Global Communication,Fall 2024,5.20,5.00,5.00,4.80,5.40,5.20,4.80,5
ABUS,3950,Special Topics,Spr 2023,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5
ABUS,3950,Special Topics,Fall 2023,5.80,5.78,5.80,5.80,5.80,5.80,5.78,10
ABUS,3950,Special Topics,Fall 2024,5.75,5.75,5.75,5.75,5.75,5.75,5.75,4
ABUS,4022,Management in Organizations,Fall 2020,5.63,5.40,5.65,5.50,5.70,5.75,5.75,20
ABUS,4022,Management in Organizations,Spr 2021,5.47,5.33,5.73,5.47,5.40,5.87,5.67,15
ABUS,4022,Management in Organizations,Sum 2021,5.80,5.40,5.80,5.80,6.00,6.00,5.80,5
ABUS,4022,Management in Organizations,Fall 2021,5.84,5.21,5.95,5.79,5.84,5.95,5.84,20
ABUS,4022,Management in Organizations,Spr 2022,5.60,5.27,5.47,5.40,5.27,5.40,5.33,15
ABUS,4022,Management in Organizations,Fall 2022,5.80,5.67,5.80,5.80,5.80,5.67,5.80,15
ABUS,4022,Management in Organizations,Spr 2023,5.37,4.89,5.42,5.32,5.00,5.16,5.11,19
ABUS,4022,Management in Organizations,Sum 2023,5.00,4.67,5.00,5.33,5.67,5.33,6.00,3
ABUS,4022,Management in Organizations,Sum 2024,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2
ABUS,4022,Management in Organizations,Fall 2024,5.63,5.44,5.44,5.56,5.63,5.63,5.63,16
ABUS,4022,Management in Organizations,Spr 2025,5.91,5.45,5.91,5.91,5.91,5.82,5.73,11
ABUS,4026,Public Perception in Business,Spr 2025,5.33,5.33,5.33,5.33,5.67,5.33,5.00,3
ABUS,4027,Core Technologies for Business,Spr 2025,5.33,5.33,5.67,5.67,5.67,5.67,5.67,3
ABUS,4041,Dynamics of Leadership,Fall 2020,5.11,4.56,5.00,4.78,5.11,5.67,4.78,9
ABUS,4041,Dynamics of Leadership,Spr 2021,5.30,4.90,5.60,5.30,4.80,5.20,4.60,10
ABUS,4041,Dynamics of Leadership,Fall 2021,5.40,5.00,5.60,5.40,4.90,5.00,4.90,11
ABUS,4041,Dynamics of Leadership,Spr 2022,5.14,4.20,5.17,5.00,3.83,4.17,3.67,7
ABUS,4041,Dynamics of Leadership,Fall 2022,5.46,5.08,5.54,5.23,4.62,4.92,4.62,13
ABUS,4041,Dynamics of Leadership,Spr 2023,5.57,5.00,5.71,5.29,4.86,4.14,4.29,7
ABUS,4041,Dynamics of Leadership,Sum 2023,6.00,6.00,6.00,5.00,6.00,6.00,6.00,1
ABUS,4041,Dynamics of Leadership,Fall 2023,5.40,5.20,5.20,5.20,5.00,4.20,5.40,5
ABUS,4041,Dynamics of Leadership,Spr 2024,5.50,5.17,5.17,5.33,4.50,4.33,4.50,6
ABUS,4041,Dynamics of Leadership,Fall 2024,5.60,5.50,5.80,5.60,5.00,5.60,5.20,5
ABUS,4041,Dynamics of Leadership,Spr 2025,5.00,4.57,5.00,4.71,3.71,3.71,3.57,7
ABUS,4043,Project Management in Practice,Fall 2020,5.33,5.00,5.67,5.33,5.00,5.67,5.33,3
ABUS,4043,Project Management in Practice,Spr 2021,4.33,4.00,4.33,4.67,4.83,5.67,4.67,6
ABUS,4043,Project Management in Practice,Fall 2021,5.17,3.50,4.00,4.50,5.33,5.17,4.00,6
ABUS,4043,Project Management in Practice,Spr 2022,4.33,4.00,3.00,3.33,3.67,4.67,3.33,3
ABUS,4043,Project Management in Practice,Fall 2022,5.75,5.75,5.25,5.25,5.25,5.50,5.75,4
ABUS,4043,Project Management in Practice,Spr 2023,5.00,4.50,4.50,5.00,5.00,5.50,4.50,2
ABUS,4043,Project Management in Practice,Fall 2023,5.00,4.50,4.50,4.25,5.25,5.25,3.75,4
ABUS,4043,Project Management in Practice,Spr 2024,5.17,4.83,4.50,4.83,4.67,5.50,5.00,6
ABUS,4043,Project Management in Practice,Fall 2024,4.50,4.50,5.00,4.50,5.00,5.00,4.00,2
ABUS,4043,Project Management in Practice,Spr 2025,5.50,4.50,4.50,5.00,5.50,5.50,5.00,2
ABUS,4101,Accounting&Finance for Mgrs,Fall 2020,5.38,4.75,5.25,5.13,5.38,5.50,5.00,8
ABUS,4101,Accounting&Finance for Mgrs,Spr 2021,5.50,3.50,5.00,4.00,5.50,5.50,4.50,2
ABUS,4101,Accounting&Finance for Mgrs,Sum 2021,5.00,4.00,5.00,5.00,5.00,5.00,3.00,1
ABUS,4101,Accounting&Finance for Mgrs,Fall 2021,6.00,5.67,5.33,5.67,5.67,6.00,5.33,3
ABUS,4101,Accounting&Finance for Mgrs,Spr 2022,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1
ABUS,4101,Accounting&Finance for Mgrs,Fall 2022,5.50,4.50,5.50,5.50,5.50,5.50,5.00,2
ABUS,4101,Accounting&Finance for Mgrs,Spr 2023,5.50,4.50,5.50,5.00,6.00,6.00,4.00,2
ABUS,4101,Accounting&Finance for Mgrs,Sum 2023,6.00,6.00,6.00,6.00,4.50,6.00,5.50,2
ABUS,4101,Accounting&Finance for Mgrs,Fall 2023,4.50,3.50,5.00,4.25,5.00,5.00,4.67,4
ABUS,4101,Accounting&Finance for Mgrs,Spr 2024,5.33,5.22,5.44,5.56,5.56,5.56,5.33,9
ABUS,4101,Accounting&Finance for Mgrs,Fall 2024,6.00,6.00,6.00,6.00,6.00,4.00,6.00,1
ABUS,4101,Accounting&Finance for Mgrs,Spr 2025,4.33,3.33,5.33,4.33,5.33,5.67,4.00,3
ABUS,4104,Management and Human Resource,Fall 2020,5.67,5.33,5.33,5.33,5.33,5.33,5.67,3
ABUS,4104,Management and Human Resource,Spr 2021,5.57,5.00,5.43,5.29,5.14,5.57,5.43,7
ABUS,4104,Management and Human Resource,Fall 2021,5.17,4.67,5.50,5.50,5.50,5.50,5.33,6
ABUS,4104,Management and Human Resource,Spr 2022,5.20,5.00,5.40,5.20,5.40,5.50,5.40,10
ABUS,4104,Management and Human Resource,Fall 2022,5.38,5.38,5.38,5.25,5.00,5.00,5.38,8
ABUS,4104,Management and Human Resource,Spr 2023,5.25,4.83,5.33,5.33,5.00,4.67,4.83,12
ABUS,4104,Management and Human Resource,Fall 2023,5.29,5.14,5.43,5.14,5.57,5.14,4.71,7
ABUS,4104,Management and Human Resource,Spr 2024,4.75,4.88,4.75,5.13,5.50,5.38,5.13,8
ABUS,4104,Management and Human Resource,Fall 2024,5.50,4.00,4.00,4.50,5.00,5.50,5.00,2
ABUS,4104,Management and Human Resource,Spr 2025,5.55,5.00,5.45,5.27,5.55,5.09,5.27,11
ABUS,4105,Authentic Business Leadership,Fall 2020,5.75,5.75,5.50,5.25,5.25,4.75,5.25,4
ABUS,4105,Authentic Business Leadership,Spr 2021,6.00,6.00,6.00,6.00,6.00,6.00,5.00,1
ABUS,4105,Authentic Business Leadership,Spr 2022,5.83,5.83,6.00,6.00,6.00,6.00,6.00,6
ABUS,4105,Authentic Business Leadership,Fall 2022,5.50,5.75,5.75,5.50,5.50,5.75,5.75,4
ABUS,4105,Authentic Business Leadership,Spr 2023,5.86,5.86,5.86,5.86,5.86,5.93,5.86,14
ABUS,4105,Authentic Business Leadership,Sum 2023,4.50,4.50,4.50,4.50,4.50,4.50,4.50,2
ABUS,4105,Authentic Business Leadership,Fall 2023,5.85,5.69,5.77,5.77,5.69,5.85,5.85,13
ABUS,4105,Authentic Business Leadership,Spr 2024,4.75,5.00,5.50,5.00,5.25,5.50,4.75,4
ABUS,4105,Authentic Business Leadership,Fall 2024,6.00,6.00,6.00,6.00,6.00,6.00,6.00,4
ABUS,4105,Authentic Business Leadership,Spr 2025,5.86,5.86,6.00,6.00,5.71,6.00,6.00,7
ABUS,4106,Scandals vs. Best Practices,Spr 2024,5.50,5.50,5.75,5.75,5.50,5.50,5.50,4
ABUS,4106,Scandals vs. Best Practices,Fall 2024,5.75,5.75,6.00,5.75,6.00,6.00,6.00,4
ABUS,4107,The Trauma-Informed Workplace,Spr 2025,6.00,6.00,5.80,5.80,5.80,5.80,5.80,5
ABUS,4108,Ethics & Decision Making,Spr 2025,5.60,5.60,5.60,5.80,5.60,5.80,5.60,5
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2020,5.33,4.67,5.00,5.00,4.67,5.00,4.33,3
ABUS,4151,Innovation for Leaders & Orgs.,Spr 2021,5.00,4.33,5.33,4.33,5.00,5.33,4.33,3
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2021,5.43,5.00,5.14,5.00,5.29,5.43,5.14,7
ABUS,4151,Innovation for Leaders & Orgs.,Spr 2022,5.00,5.00,5.00,4.80,4.40,5.20,5.00,5
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2022,6.00,5.67,5.67,6.00,5.67,5.67,5.67,3
ABUS,4151,Innovation for Leaders & Orgs.,Spr 2023,4.60,4.40,4.80,4.80,4.60,5.20,4.40,5
ABUS,4151,Innovation for Leaders & Orgs.,Sum 2023,5.00,5.00,5.00,4.50,5.00,4.50,4.50,2
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2023,5.63,5.25,5.25,5.50,5.63,5.75,5.63,8
ABUS,4151,Innovation for Leaders & Orgs.,Fall 2024,5.00,5.00,5.43,5.00,5.43,5.00,4.86,7
ABUS,4211,"Facil Asset Mgmt, Fin, Budget",Spr 2024,4.50,3.75,3.75,3.75,4.50,2.75,3.75,4
ABUS,4217,Real Estate Process & Tools,Fall 2020,5.00,5.00,5.00,4.00,5.50,5.50,3.50,2
ABUS,4217,Real Estate Process & Tools,Fall 2021,4.33,4.56,4.22,3.89,3.25,4.67,4.00,9
ABUS,4217,Real Estate Process & Tools,Fall 2023,4.33,4.67,4.67,4.33,4.00,4.33,4.33,3
ABUS,4217,Real Estate Process & Tools,Fall 2024,5.67,5.67,5.33,5.33,5.33,5.33,5.33,3
ABUS,4218,Real Estate Finance,Spr 2021,4.80,5.20,5.00,4.80,4.00,4.80,4.20,5
ABUS,4218,Real Estate Finance,Spr 2022,4.20,4.00,3.60,3.60,3.60,4.60,3.40,5
ABUS,4218,Real Estate Finance,Spr 2023,5.25,5.25,4.25,4.50,3.50,4.75,4.00,4
ABUS,4218,Real Estate Finance,Spr 2025,4.00,3.67,3.00,3.33,3.67,3.00,3.00,3
ABUS,4501,Small Bsns Building & Running,Fall 2020,5.20,5.33,5.17,5.00,5.17,5.33,5.00,6
ABUS,4501,Small Bsns Building & Running,Fall 2021,5.22,4.89,4.67,4.67,5.44,5.11,4.78,9
ABUS,4501,Small Bsns Building & Running,Fall 2022,4.75,4.67,4.75,4.75,5.50,5.00,4.75,4
ABUS,4501,Small Bsns Building & Running,Fall 2023,5.09,5.00,4.73,5.18,5.45,5.45,4.91,11
ABUS,4501,Small Bsns Building & Running,Fall 2024,4.78,5.00,3.89,5.00,5.56,5.67,5.00,9
ABUS,4502,Inclusive Business Leadership,Fall 2020,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2
ABUS,4502,Inclusive Business Leadership,Spr 2021,5.50,5.50,5.50,5.50,5.50,5.50,5.50,2
ABUS,4502,Inclusive Business Leadership,Spr 2022,6.00,5.50,6.00,6.00,6.00,5.50,6.00,2
ABUS,4509,New Product Development,Spr 2021,6.00,5.50,5.50,5.50,5.50,5.50,5.50,2
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2020,4.67,4.67,5.00,4.67,4.67,4.67,4.67,3
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2021,5.14,5.43,5.33,5.00,5.71,5.71,5.29,7
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2021,4.67,3.33,4.67,4.67,4.67,5.00,4.00,3
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2022,5.00,4.60,5.20,5.00,5.50,4.80,5.20,5
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2022,4.75,4.50,4.25,4.75,5.50,5.25,5.00,4
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2023,5.00,4.33,5.00,5.33,5.33,5.00,4.67,3
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2023,4.75,4.25,4.25,4.25,4.00,4.25,4.25,4
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2024,4.86,4.57,5.14,4.86,5.14,4.71,5.00,7
ABUS,4515,Strat/Mgmt Sustainable Future,Fall 2024,5.33,5.33,5.33,5.33,5.50,5.50,5.33,6
ABUS,4515,Strat/Mgmt Sustainable Future,Spr 2025,5.60,5.80,5.20,5.40,6.00,5.80,5.40,5
ABUS,4518,Innovative Decision Making,Spr 2021,5.00,6.00,4.00,5.00,6.00,6.00,6.00,1
ABUS,4518,Innovative Decision Making,Fall 2022,5.00,4.00,6.00,5.00,5.00,6.00,5.00,1
ABUS,4545,Defying Workplace Racial Bias,Spr 2021,5.88,6.00,5.88,6.00,5.88,6.00,6.00,8
ABUS,4545,Defying Workplace Racial Bias,Fall 2021,5.50,5.50,5.50,5.00,5.00,4.00,5.00,2
ABUS,4545,Defying Workplace Racial Bias,Spr 2022,5.33,5.33,5.33,5.67,5.33,4.33,5.33,3
ABUS,4545,Defying Workplace Racial Bias,Sum 2022,5.00,5.00,5.50,5.50,5.50,5.00,5.50,2
ABUS,4545,Defying Workplace Racial Bias,Fall 2022,5.00,4.67,4.67,4.67,5.00,5.00,5.33,3
ABUS,4545,Defying Workplace Racial Bias,Spr 2023,5.00,3.00,6.00,5.00,5.50,5.50,3.00,3
ABUS,4545,Defying Workplace Racial Bias,Sum 2023,5.50,5.50,5.75,5.75,5.75,5.75,5.50,4
ABUS,4545,Defying Workplace Racial Bias,Fall 2023,5.82,5.09,5.45,5.36,5.55,5.45,5.45,11
